id,date,user,to,attachments,size
1,2024-01-15 09:00:00,USR0001,colleague1@company.com,,1024
2,2024-01-15 10:00:00,USR0001,colleague2@company.com,,2048
3,2024-01-15 11:00:00,USR0002,manager@company.com,,512
4,2024-01-16 09:00:00,USR0002,team@company.com,,1024
5,2024-01-15 02:00:00,USR0003,external1@gmail.com,confidential_report.pdf,15360
6,2024-01-15 03:00:00,USR0003,external2@protonmail.com,employee_data.xlsx,20480
7,2024-01-16 01:30:00,USR0003,dropbox@external.org,financial_summary.pdf,18432
8,2024-01-16 04:00:00,USR0003,external3@yahoo.com,client_list.csv,8192
9,2024-01-17 02:00:00,USR0003,anon@tutanota.com,source_code.zip,102400
10,2024-01-17 05:00:00,USR0003,external4@outlook.com,database_dump.sql,204800
11,2024-01-18 03:00:00,USR0003,contact@competitor.com,strategy_doc.pdf,10240
12,2024-01-19 01:00:00,USR0003,personal@gmail.com,passwords.txt,4096
13,2024-01-20 02:30:00,USR0003,burner@protonmail.com,network_diagram.png,30720
14,2024-01-21 04:00:00,USR0003,external5@yandex.com,vpn_config.ovpn,2048
15,2024-01-22 01:00:00,USR0003,leak@darkweb.onion,full_backup.tar.gz,512000
16,2024-01-22 03:00:00,USR0003,hacker@external.net,credentials.json,6144
17,2024-01-15 22:00:00,USR0005,external_a@gmail.com,report_q4.pdf,12288
18,2024-01-16 23:00:00,USR0005,outsider@hotmail.com,salary_data.xlsx,16384
19,2024-01-17 21:00:00,USR0005,recruiter@linkedin.com,resume.pdf,8192
20,2024-01-18 01:00:00,USR0005,personal@yahoo.com,project_files.zip,65536
21,2024-01-19 02:00:00,USR0005,friend@gmail.com,internal_memo.docx,4096
22,2024-01-20 23:00:00,USR0005,contact@rival.com,trade_secrets.pdf,20480
23,2024-01-21 22:30:00,USR0005,anon@protonmail.com,access_keys.txt,1024
24,2024-01-22 01:00:00,USR0005,external_b@outlook.com,org_chart.pdf,3072
25,2024-01-16 10:00:00,USR0004,colleague@company.com,,1024
26,2024-01-17 11:00:00,USR0006,team@company.com,,2048
27,2024-01-18 09:30:00,USR0007,manager@company.com,,512
28,2024-01-19 14:00:00,USR0008,colleague@company.com,,1024
29,2024-01-20 10:00:00,USR0009,hr@company.com,,2048
30,2024-01-20 11:00:00,USR0010,it@company.com,,1024
31,2024-01-21 09:00:00,USR0011,colleague@company.com,,512
32,2024-01-21 10:00:00,USR0012,manager@company.com,,1024
33,2024-01-22 09:00:00,USR0013,team@company.com,,2048
34,2024-01-22 10:00:00,USR0014,colleague@company.com,,512
35,2024-01-23 09:00:00,USR0015,hr@company.com,,1024
36,2024-01-23 10:00:00,USR0016,it@company.com,,2048
37,2024-01-23 11:00:00,USR0017,colleague@company.com,,512
38,2024-01-23 14:00:00,USR0018,team@company.com,,1024
39,2024-01-23 15:00:00,USR0019,manager@company.com,,2048
40,2024-01-23 16:00:00,USR0020,colleague@company.com,,512
